Year Installed,Month Installed,Object ID,Address,Location,Street,Placement,Number of Racks,Number of Spaces,Last Edited Date,Geom
2013,4,646,96 LAFAYETTE ST,Michael the Boxer gym,Lafayette,SIDEWALK,1,2,,"(37.7725199478, -122.416617009)"
2013,1,647,880 HARRISON ST,Project 880,HARRISON,SIDEWALK,2,4,,"(37.7796129475, -122.401682009)"
2014,1,648,401 GROVE ST,300 Ivy,GOUGH,SIDEWALK,4,8,,"(37.7774919482, -122.423560008)"
2012,11,649,935 GEARY ST,The President,GEARY,SIDEWALK,1,2,,"(37.7857729483, -122.418639009)"
2013,2,650,50 OAK ST,SF Conservatory of Music,Oak,SIDEWALK,3,6,,"(37.7755689478, -122.420277009)"
2013,4,651,486 GEARY ST,Alcatraz Gift and Tours,GEARY,SIDEWALK,1,2,,"(37.7871589481, -122.411202008)"
2013,1,652,1225 FOLSOM ST,Driftwood,FOLSOM,SIDEWALK,1,2,,"(37.7744729477, -122.410297009)"
2013,4,653,908 CORTLAND AVE,Bernal Yoga,CORTLAND,SIDEWALK,1,2,,"(37.7387729476, -122.413614009)"
2013,1,654,460 GOUGH ST,Welcome Stranger,GOUGH,SIDEWALK,1,2,,"(37.7776039475, -122.422764009)"
2013,1,655,2 SANCHEZ ST,Duboce Park Cafe,SANCHEZ,SIDEWALK,3,6,,"(37.7691609477, -122.431623009)"
2013,4,656,501 WALLER ST,Clipper Wiggle Bicycles,WALLER,SIDEWALK,2,4,,"(37.7706569482, -122.432043009)"
2013,5,657,451 09TH ST,Cup and Cakes Bakery,NINTH St,SIDEWALK,1,2,,"(37.7721179476, -122.409109008)"
2012,9,658,3030 20TH ST,Southern Exposure,20TH ST,SIDEWALK,2,4,,"(37.7593249483, -122.411282009)"
2013,1,659,2001 POST ST,Hamilton Recreation Center,POST,SIDEWALK,2,4,,"(37.7843782283, -122.436322509)"
2013,4,660,2299 15TH ST,Healthy Spirits,15TH ST,SIDEWALK,1,2,,"(37.7655270678, -122.435266109)"
2013,5,661,760 LA PLAYA,Ocean View Dental,LA PLAYA,SIDEWALK,1,2,,"(37.7745359476, -122.509795009)"
2013,1,662,2215 POWELL ST,Accelerate Sports,POWELL,SIDEWALK,2,4,,"(37.8052059478, -122.412047009)"
2013,1,663,77 VAN NESS AVE,Subway and Camilo Riano D.D.S. and UPS Store,VAN NESS,SIDEWALK,1,2,,"(37.7760629483, -122.419850008)"
2013,4,664,1270 SANCHEZ ST,Bethany United Methodist Church,SANCHEZ,SIDEWALK,2,4,,"(37.7488989476, -122.429677008)"
2013,5,665,837 CABRILLO ST,Diana Choy Hair Salon,CABRILLO,SIDEWALK,1,2,,"(37.7750359383, -122.467861709)"
2015,1,666,430 CORTLAND AVE,Bernal Heights Nails Care,CORTLAND,SIDEWALK,1,2,,"(37.7391087478, -122.417159109)"
2013,6,667,2099 FOLSOM ST,Rite Spot Cafe,Folsom,SIDEWALK,2,4,,"(37.7638659475, -122.414915009)"
2013,5,668,214 VALENCIA ST,"Andrew Lesko, DC",Valencia,SIDEWALK,1,2,,"(37.7695479475, -122.422633009)"
2013,3,669,130 WEST PORTAL AVE,Citibank,WEST PORTAL,SIDEWALK,1,2,,"(37.7394869478, -122.467752008)"
2013,4,670,301 FELL ST,Live Fit Gym,Fell,SIDEWALK,2,4,,"(37.7757939481, -122.422976009)"
2005,0,671,2323 MISSION ST,Cha Cha Cha,MISSION,SIDEWALK,1,2,,"(37.7598639481, -122.418815008)"
2013,5,672,728 LA PLAYA,Fit Club,LA PLAYA,SIDEWALK,1,2,,"(37.7745359476, -122.509795009)"
2013,1,673,600 DIVISADERO ST,Rare Device,DIVISADERO,SIDEWALK,1,2,,"(37.7751769479, -122.437517009)"
2013,6,674,601 SOUTH VAN NESS AVE,Bite Me Sandwiches,SOUTH VAN NESS,SIDEWALK,1,2,,"(37.7634579478, -122.417005008)"
2013,9,675,2330 MISSION ST,Mission Thrift,MISSION,SIDEWALK,2,4,,"(37.7597288682, -122.419460508)"
2012,9,676,None,Duboce Park,DUBOCE,SIDEWALK,5,10,,"(37.769309948, -122.433110008)"
